location.1,total_deaths,date,individualism,masculinity,powerdistance,indulgence,uncertaintyavoidance,longtermorientation,democracyindex2021,gdp_per_capita,aged_65_older,stringency_index,population,country_region,date.1,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Angola,,25/03/2020,18,20,83,83,60,15,3,5819,2,33,33933611,Angola,25/03/2020,-22,1,-24,-41,-22,15
Angola,,26/03/2020,18,20,83,83,60,15,3,5819,2,33,33933611,Angola,26/03/2020,-10,23,-9,-25,-27,11
Angola,,27/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,27/03/2020,-48,-22,-32,-52,-47,26
Angola,,28/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,28/03/2020,-51,-33,-28,-41,-22,20
Angola,2,29/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,29/03/2020,-61,-40,-39,-57,-11,22
Angola,2,30/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,30/03/2020,-55,-36,-35,-59,-54,30
Angola,2,31/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,31/03/2020,-55,-37,-37,-62,-55,29
Angola,2,01/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,01/04/2020,-55,-36,-40,-61,-55,28
Angola,2,02/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,02/04/2020,-55,-35,-34,-60,-55,28
Angola,2,03/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,03/04/2020,-58,-35,-41,-63,-53,32
Angola,2,04/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,04/04/2020,-58,-40,-37,-56,-36,24
Angola,2,05/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,05/04/2020,-62,-37,-48,-63,-17,22
Angola,2,06/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,06/04/2020,-52,-33,-37,-59,-52,28
Angola,2,07/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,07/04/2020,-53,-33,-41,-61,-54,28
Angola,2,08/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,08/04/2020,-54,-36,-41,-62,-53,28
Angola,2,09/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,09/04/2020,-51,-30,-34,-58,-53,27
Angola,2,10/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,10/04/2020,-60,-37,-49,-65,-69,36
Angola,2,11/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,11/04/2020,-53,-32,-37,-44,-31,22
Angola,2,12/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,12/04/2020,-60,-36,-45,-56,-18,21
Angola,2,13/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,13/04/2020,-55,-40,-39,-60,-51,29
Angola,2,14/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,14/04/2020,-52,-35,-40,-57,-51,27
Angola,2,15/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,15/04/2020,-54,-40,-41,-64,-52,29
Angola,2,16/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,16/04/2020,-52,-34,-36,-59,-51,25
Angola,2,17/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,17/04/2020,-56,-37,-43,-63,-50,31
Angola,2,18/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,18/04/2020,-60,-41,-39,-61,-35,23
Angola,2,19/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,19/04/2020,-63,-41,-47,-68,-18,21
Angola,2,20/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,20/04/2020,-55,-39,-38,-67,-49,28
Angola,2,21/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,21/04/2020,-53,-34,-37,-64,-49,27
Angola,2,22/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,22/04/2020,-55,-40,-41,-68,-50,28
Angola,2,23/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,23/04/2020,-51,-31,-36,-63,-49,26
Angola,2,24/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,24/04/2020,-55,-34,-39,-65,-47,29
Angola,2,25/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,25/04/2020,-47,-24,-27,-53,-24,18
Angola,2,26/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,26/04/2020,-51,-23,-41,-63,-9,19
Angola,2,27/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,27/04/2020,-37,-21,-26,-55,-33,21
Angola,2,28/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,28/04/2020,-32,-11,-19,-45,-33,17
Angola,2,29/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,29/04/2020,-31,-12,-22,-49,-32,20
Angola,2,30/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,30/04/2020,-28,-6,-13,-39,-31,18
Angola,2,01/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,01/05/2020,-51,-31,-38,-62,-64,31
Angola,2,02/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,02/05/2020,-36,-15,-21,-41,-9,16
Angola,2,03/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,03/05/2020,-53,-27,-40,-63,-4,19
Angola,2,04/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,04/05/2020,-37,-25,-24,-54,-30,22
Angola,2,05/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,05/05/2020,-33,-16,-26,-47,-32,19
Angola,2,06/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,06/05/2020,-34,-22,-26,-51,-31,22
Angola,2,07/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,07/05/2020,-33,-12,-19,-45,-30,19
Angola,2,08/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,08/05/2020,-39,-20,-27,-52,-28,24
Angola,2,09/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,09/05/2020,-35,-11,-19,-41,-5,16
Angola,2,10/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,10/05/2020,-52,-26,-37,-60,-3,19
Angola,2,11/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,11/05/2020,-36,-24,-24,-50,-27,21
Angola,2,12/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,12/05/2020,-33,-16,-21,-49,-28,20
Angola,2,13/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,13/05/2020,-34,-20,-25,-51,-28,20
Angola,2,14/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,14/05/2020,-33,-18,-17,-44,-28,18
Angola,2,15/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,15/05/2020,-38,-19,-24,-49,-27,23
Angola,2,16/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,16/05/2020,-35,-16,-15,-40,-4,17
Angola,2,17/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,17/05/2020,-51,-26,-37,-57,-5,18
Angola,3,18/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,18/05/2020,-35,-23,-22,-49,-25,21
Angola,3,19/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,19/05/2020,-34,-20,-24,-47,-27,20
Angola,3,20/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,20/05/2020,-36,-22,-25,-53,-27,21
Angola,3,21/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,21/05/2020,-34,-19,-15,-48,-27,20
Angola,3,22/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,22/05/2020,-37,-19,-22,-49,-24,22
